ID,Sex,Spayed_or_not,Birthday
094-001917,Female,Neutered,2011-05
094-001922,Male,Neutered,2012-05
094-001929,Female,Neutered,2012-06
094-001940,Male,Neutered,2010-10
094-001957,Male,Neutered,2011-06
094-001959,Male,Neutered,2010-10
094-001972,Female,Neutered,2011-03
094-002000,Female,Neutered,2011-12
094-002002,Female,Neutered,2011-01
094-002003,Female,Neutered,2011-12
094-002009,Female,Neutered,2011-08
094-002010,Male,Intact,2012-03
094-002027,Male,Intact,2011-01
094-002031,Female,Neutered,2011-07
094-002032,Female,Neutered,2012-01
094-002035,Male,Intact,2011-03
094-002065,Male,Neutered,2011-02
094-002079,Male,Neutered,2011-05
094-002089,Male,Neutered,2011-05
094-002095,Male,Intact,2011-05
094-002103,Male,Neutered,2012-05
094-002112,Male,Intact,2011-05
094-002116,Male,Neutered,2012-07
094-002125,Male,Neutered,2011-11
094-002131,Female,Intact,2011-03
094-002133,Male,Neutered,2012-05
094-002136,Male,Neutered,2011-05
094-002141,Male,Neutered,2011-09
094-002158,Female,Neutered,2011-09
094-002166,Male,Neutered,2011-03
094-002169,Male,Neutered,2012-03
094-002188,Female,Neutered,2012-04
094-002193,Male,Neutered,2011-04
094-002201,Male,Neutered,2012-04
094-002217,Male,Intact,2012-05
094-002282,Female,Intact,2012-02
094-002286,Female,Neutered,2010-10
094-002299,Female,Neutered,2012-03
094-002301,Female,Intact,2012-08
094-002320,Female,Neutered,2011-03
094-002328,Male,Neutered,2011-01
094-002352,Male,Neutered,2010-12
094-002358,Male,Neutered,2012-02
094-002361,Female,Neutered,2011-01
094-002389,Female,Neutered,2012-07
094-002394,Male,Intact,2011-04
094-002396,Male,Intact,2011-10
094-002409,Male,Neutered,2012-04
094-002413,Female,Neutered,2011-05
094-002416,Male,Neutered,2012-05
094-002424,Female,Neutered,2011-12
094-002443,Male,Neutered,2011-10
094-002458,Male,Neutered,2011-12
094-002460,Female,Neutered,2012-07
094-002464,Female,Neutered,2012-02
094-002471,Male,Neutered,2011-05
094-002477,Male,Neutered,2011-10
094-002483,Female,Neutered,2011-07
094-002505,Male,Neutered,2011-04
094-002507,Female,Neutered,2011-02
094-002516,Male,Neutered,2012-07
094-002518,Female,Neutered,2012-07
094-002522,Male,Intact,2012-06
094-002530,Male,Neutered,2011-06
094-002534,Male,Intact,2011-04
094-002539,Female,Neutered,2012-05
094-002548,Female,Intact,2012-02
094-002550,Male,Intact,2012-04
094-002555,Male,Neutered,2012-06
094-002556,Female,Neutered,2012-10
094-002558,Female,Neutered,2011-07
094-002571,Female,Neutered,2011-07
094-002573,Male,Neutered,2011-10
094-002575,Female,Neutered,2012-02
094-002577,Male,Intact,2012-05
094-002586,Female,Neutered,2012-01
094-002588,Female,Neutered,2011-04
094-002596,Male,Neutered,2011-08
094-002600,Female,Neutered,2011-04
094-002605,Female,Neutered,2011-06
094-002632,Female,Neutered,2011-11
094-002639,Male,Intact,2011-06
094-002640,Male,Intact,2012-03
094-002644,Female,Neutered,2011-05
094-002677,Male,Neutered,2012-08
094-002681,Female,Neutered,2012-09
094-002685,Male,Neutered,2011-11
094-002695,Male,Neutered,2012-06
094-002713,Female,Neutered,2011-08
094-002715,Female,Neutered,2011-10
094-002741,Male,Neutered,2012-06
094-002750,Male,Intact,2011-05
094-002775,Male,Neutered,2011-04
094-002777,Male,Neutered,2012-06
094-002785,Female,Neutered,2012-05
094-002792,Male,Neutered,2010-12
094-002794,Female,Intact,2012-07
094-002805,Female,Neutered,2011-02
094-002811,Male,Neutered,2011-02
094-002814,Male,Neutered,2011-01
094-002816,Female,Neutered,2012-07
094-002823,Female,Neutered,2011-04
094-002852,Male,Neutered,2012-06
094-002869,Female,Neutered,2012-06
094-002873,Female,Neutered,2012-06
094-002875,Male,Intact,2012-07
094-002884,Female,Neutered,2012-04
094-002889,Male,Neutered,2011-08
094-002891,Female,Neutered,2011-07
094-002907,Male,Intact,2012-06
094-002909,Male,Neutered,2011-08
094-002917,Male,Intact,2012-09
094-002920,Male,Neutered,2011-08
094-002922,Male,Intact,2011-02
094-002927,Male,Neutered,2011-08
094-002929,Female,Intact,2012-03
094-002932,Male,Intact,2010-11
094-002943,Male,Intact,2012-05
094-002948,Female,Neutered,2011-07
094-002951,Male,Neutered,2011-07
094-002961,Female,Neutered,2011-02
094-002993,Male,Neutered,2012-07
094-002995,Female,Neutered,2011-02
094-003009,Female,Neutered,2012-06
094-003012,Male,Neutered,2012-03
094-003016,Male,Neutered,2011-07
094-003019,Female,Neutered,2012-03
094-003023,Male,Intact,2012-03
094-003031,Female,Neutered,2012-09
094-003048,Male,Intact,2011-09
094-003060,Female,Neutered,2012-09
094-003074,Male,Intact,2011-07
094-003083,Male,Neutered,2012-06
094-003085,Female,Neutered,2012-08
094-003094,Male,Neutered,2012-10
094-003104,Female,Neutered,2011-08
094-003106,Female,Neutered,2012-05
094-003113,Male,Neutered,2011-09
094-003120,Female,Neutered,2012-08
094-003126,Male,Neutered,2011-10
094-003135,Male,Neutered,2012-03
094-003142,Female,Intact,2011-11
094-003147,Male,Intact,2011-09
094-003149,Male,Neutered,2011-11
094-003155,Female,Neutered,2012-10
094-003158,Male,Neutered,2012-10
094-003160,Male,Neutered,2010-12
094-003167,Male,Intact,2012-09
094-003175,Female,Neutered,2011-12
094-003184,Male,Neutered,2012-02
094-003190,Male,Intact,2011-08
094-003192,Male,Intact,2012-10
094-003194,Female,Neutered,2012-06
094-003200,Male,Neutered,2012-10
094-003203,Female,Neutered,2012-10
094-003207,Female,Neutered,2011-09
094-003232,Male,Neutered,2012-08
094-003233,Female,Intact,2012-11
094-003246,Male,Intact,2011-03
094-003255,Female,Intact,2012-06
094-003261,Female,Neutered,2011-12
094-003268,Female,Neutered,2011-05
094-003277,Male,Neutered,2012-04
094-003279,Female,Neutered,2011-05
094-003281,Male,Intact,2012-10
094-003295,Male,Neutered,2012-11
094-003336,Male,Intact,2012-12
094-003343,Female,Intact,2012-09
094-003362,Female,Neutered,2012-03
094-003373,Male,Intact,2012-03
094-003383,Female,Neutered,2012-04
094-003387,Male,Neutered,2011-04
094-003391,Female,Neutered,2012-03
094-003393,Female,Neutered,2012-05
094-003398,Female,Neutered,2012-01
094-003400,Female,Neutered,2011-06
094-003402,Female,Intact,2012-04
094-003404,Female,Neutered,2012-08
094-003409,Female,Neutered,2012-05
094-003413,Male,Neutered,2011-05
094-003415,Female,Neutered,2012-01
094-003419,Female,Neutered,2012-05
094-003428,Female,Neutered,2012-10
094-003430,Male,Neutered,2011-12
094-003439,Female,Neutered,2011-03
094-003445,Male,Intact,2012-02
094-003447,Female,Neutered,2011-03
094-003451,Male,Neutered,2011-03
