ID,Sex,Spayed_or_not,Birthday
094-007935,Female,Intact,2012-11
094-007938,Male,Neutered,2012-05
094-007960,Female,Neutered,2011-06
094-007965,Male,Intact,2012-04
094-007986,Male,Neutered,2011-11
094-007997,Female,Intact,2012-10
094-008018,Female,Intact,2012-12
094-008022,Female,Neutered,2012-05
094-008033,Female,Neutered,2011-06
094-008043,Female,Neutered,2012-06
094-008046,Male,Neutered,2012-03
094-008058,Female,Neutered,2011-04
094-008059,Female,Neutered,2011-04
094-008081,Male,Neutered,2011-05
094-008082,Male,Neutered,2012-12
094-008084,Male,Neutered,2011-12
094-008092,Female,Neutered,2012-09
094-008101,Male,Intact,2011-11
094-008111,Female,Neutered,2012-03
094-008133,Female,Neutered,2011-06
094-008142,Female,Neutered,2011-11
094-008147,Female,Neutered,2012-11
094-008153,Female,Neutered,2011-11
094-008170,Female,Intact,2011-11
094-008180,Female,Neutered,2011-06
094-008196,Male,Neutered,2012-06
094-008218,Female,Intact,2011-04
094-008222,Female,Neutered,2012-08
094-008243,Female,Neutered,2012-10
094-008251,Male,Neutered,2011-05
094-008257,Female,Neutered,2012-07
094-008263,Male,Neutered,2012-09
094-008269,Male,Neutered,2011-04
094-008291,Female,Intact,2012-05
094-008336,Male,Neutered,2012-02
094-008338,Male,Neutered,2012-07
094-008340,Female,Neutered,2012-06
094-008360,Female,Neutered,2011-10
094-008363,Male,Neutered,2011-12
094-008370,Male,Intact,2011-05
094-008372,Male,Neutered,2011-08
094-008375,Female,Neutered,2011-08
094-008381,Male,Neutered,2012-12
094-008393,Female,Neutered,2012-05
094-008406,Female,Neutered,2012-10
094-008425,Female,Neutered,2012-05
094-008430,Female,Neutered,2011-12
094-008432,Female,Neutered,2012-05
094-008444,Male,Neutered,2013-03
094-008487,Female,Neutered,2012-01
094-008531,Male,Neutered,2012-12
094-008549,Female,Neutered,2012-02
094-008551,Male,Intact,2012-11
094-008558,Female,Intact,2011-05
094-008560,Female,Neutered,2011-08
094-008575,Female,Neutered,2012-10
094-008582,Female,Neutered,2012-05
094-008592,Female,Neutered,2011-08
094-008607,Male,Intact,2011-10
094-008610,Female,Neutered,2012-01
094-008611,Male,Intact,2012-08
094-008622,Female,Neutered,2012-02
094-008631,Female,Intact,2013-02
094-008635,Female,Neutered,2012-08
094-008642,Male,Neutered,2011-12
094-008653,Male,Intact,2012-12
094-008659,Male,Neutered,2013-01
094-008670,Male,Neutered,2012-12
094-008672,Female,Neutered,2013-01
094-008679,Male,Neutered,2012-03
094-008683,Female,Neutered,2012-11
094-008705,Female,Neutered,2011-12
094-008734,Male,Neutered,2012-12
094-008757,Male,Intact,2011-08
094-008770,Female,Neutered,2013-01
094-008774,Female,Neutered,2011-09
094-008776,Male,Neutered,2013-01
094-008784,Male,Neutered,2012-02
094-008795,Male,Neutered,2011-11
094-008823,Female,Neutered,2012-01
094-008825,Male,Intact,2012-12
094-008842,Female,Neutered,2013-02
094-008848,Male,Neutered,2012-08
094-008866,Male,Neutered,2012-12
094-008868,Female,Intact,2012-07
094-008870,Female,Neutered,2013-01
094-008871,Female,Intact,2012-07
094-008896,Male,Neutered,2012-08
094-008897,Female,Neutered,2012-08
094-008904,Male,Neutered,2012-03
094-008913,Male,Neutered,2013-01
094-008915,Female,Neutered,2011-12
094-008931,Male,Neutered,2013-02
094-008941,Female,Neutered,2013-02
094-008943,Male,Neutered,2012-02
094-008946,Male,Neutered,2011-11
094-008956,Female,Neutered,2013-01
094-008961,Male,Neutered,2012-10
094-008963,Female,Neutered,2012-10
094-008971,Female,Neutered,2012-10
094-008976,Female,Neutered,2012-07
094-008989,Female,Neutered,2012-01
094-008991,Male,Neutered,2012-05
094-008998,Female,Intact,2012-10
094-009005,Male,Neutered,2011-09
094-009022,Female,Neutered,2013-02
094-009026,Female,Neutered,2013-02
094-009031,Male,Neutered,2013-01
094-009047,Female,Neutered,2011-05
094-009056,Male,Intact,2012-05
094-009069,Male,Intact,2012-05
094-009079,Female,Neutered,2011-09
094-009103,Female,Neutered,2012-02
094-009106,Male,Neutered,2012-12
094-009125,Female,Neutered,2012-03
094-009132,Female,Neutered,2012-05
094-009140,Male,Neutered,2012-03
094-009152,Male,Neutered,2011-12
094-009158,Male,Neutered,2011-06
094-009195,Male,Neutered,2012-05
094-009235,Female,Neutered,2012-09
094-009257,Female,Neutered,2012-01
094-009274,Female,Intact,2013-01
094-009278,Male,Neutered,2012-05
094-009325,Male,Neutered,2012-09
094-009331,Female,Intact,2011-05
094-009334,Male,Neutered,2011-11
094-009341,Female,Neutered,2012-11
094-009368,Male,Neutered,2011-05
094-009369,Female,Neutered,2012-09
094-009372,Male,Neutered,2012-02
094-009385,Female,Neutered,2013-01
094-009406,Male,Neutered,2012-10
094-009420,Male,Neutered,2012-12
094-009426,Male,Neutered,2013-01
094-009429,Female,Neutered,2013-02
094-009431,Male,Neutered,2012-12
094-009436,Male,Neutered,2012-10
094-009441,Male,Neutered,2012-09
094-009446,Male,Intact,2013-01
094-009454,Female,Neutered,2013-03
094-009461,Male,Neutered,2012-09
094-009463,Female,Neutered,2012-01
094-009474,Male,Neutered,2012-11
094-009490,Male,Intact,2012-10
094-009497,Male,Neutered,2013-01
094-009499,Male,Neutered,2012-04
094-009502,Female,Intact,2012-10
094-009504,Male,Neutered,2012-09
094-009506,Female,Neutered,2013-03
094-009515,Female,Neutered,2013-01
094-009523,Male,Neutered,2013-03
094-009541,Female,Neutered,2013-02
094-009550,Male,Intact,2011-08
094-009552,Male,Intact,2012-08
094-009561,Male,Neutered,2011-06
094-009568,Female,Neutered,2012-09
094-009590,Female,Neutered,2012-02
094-009601,Female,Intact,2013-01
094-009616,Male,Neutered,2012-09
094-009625,Female,Neutered,2013-01
094-009629,Female,Neutered,2012-11
094-009635,Female,Neutered,2013-03
094-009640,Male,Intact,2012-11
094-009656,Female,Neutered,2012-06
094-009672,Male,Neutered,2012-02
094-009676,Female,Neutered,2013-01
094-009695,Male,Neutered,2012-02
094-009697,Female,Neutered,2013-02
094-009704,Male,Neutered,2013-02
094-009725,Female,Intact,2012-11
094-009727,Male,Neutered,2011-10
094-009735,Female,Neutered,2011-10
094-009757,Male,Intact,2012-12
094-009762,Male,Neutered,2012-06
094-009770,Male,Neutered,2012-06
094-009772,Female,Neutered,2013-03
094-009781,Female,Neutered,2012-04
094-009786,Female,Neutered,2013-02
094-009788,Male,Neutered,2012-12
094-009799,Male,Neutered,2013-03
094-009825,Male,Neutered,2011-07
094-009854,Female,Neutered,2011-11
094-009866,Male,Intact,2011-11
094-009870,Male,Intact,2013-04
094-009874,Female,Neutered,2012-08
094-009877,Male,Intact,2011-12
094-009903,Female,Neutered,2012-11
094-009950,Male,Intact,2013-02
094-009974,Female,Neutered,2011-12
094-009985,Male,Neutered,2012-02
094-010018,Female,Neutered,2012-03
094-010026,Male,Neutered,2012-03
094-010064,Female,Neutered,2012-07
094-010066,Female,Intact,2012-12
094-010086,Female,Neutered,2012-03
094-010096,Male,Neutered,2012-06
094-010105,Female,Neutered,2012-02
094-010120,Female,Neutered,2012-11
094-010136,Male,Neutered,2011-10
094-010146,Female,Neutered,2012-11
094-010157,Female,Neutered,2012-11
094-010175,Male,Neutered,2012-12
094-010189,Male,Neutered,2012-08
094-010251,Female,Neutered,2012-01
094-010315,Male,Neutered,2012-07
094-010319,Female,Neutered,2013-01
094-010321,Female,Neutered,2012-05
094-010363,Female,Neutered,2012-11
094-010384,Female,Neutered,2012-09
094-010392,Female,Neutered,2012-10
094-010410,Male,Neutered,2011-08
094-010418,Female,Neutered,2012-06
094-010421,Male,Neutered,2012-10
094-010447,Female,Neutered,2012-12
094-010501,Female,Neutered,2011-07
094-010524,Female,Neutered,2011-10
094-010600,Female,Neutered,2012-05
094-010683,Male,Neutered,2011-09
094-010694,Male,Neutered,2012-10
094-010714,Male,Intact,2013-04
094-010732,Male,Intact,2012-12
094-010736,Female,Neutered,2011-12
094-010754,Male,Intact,2011-10
094-010755,Male,Intact,2013-05
094-010757,Female,Intact,2013-03
094-010761,Female,Neutered,2012-01
094-010851,Male,Neutered,2012-02
094-010875,Male,Neutered,2012-11
094-010898,Female,Intact,2011-11
094-010902,Female,Neutered,2013-03
094-010907,Female,Neutered,2012-01
094-010909,Male,Neutered,2012-07
094-010935,Male,Neutered,2013-02
094-010937,Female,Neutered,2013-01
094-010942,Male,Neutered,2012-08
094-010944,Female,Neutered,2012-06
094-010950,Female,Neutered,2012-01
094-010963,Male,Neutered,2012-12
094-010976,Female,Neutered,2012-05
094-010979,Female,Neutered,2012-12
094-010982,Male,Neutered,2012-12
094-010984,Male,Neutered,2011-08
094-011010,Male,Neutered,2011-07
094-011047,Male,Neutered,2012-08
094-011057,Male,Intact,2012-11
094-011061,Male,Neutered,2010-12
094-011063,Male,Neutered,2012-07
094-011087,Female,Intact,2013-03
094-011089,Female,Neutered,2011-08
094-011091,Male,Neutered,2013-01
094-011110,Male,Neutered,2012-03
094-011114,Female,Neutered,2012-02
094-011136,Male,Neutered,2013-04
094-011139,Male,Neutered,2011-09
094-011141,Male,Neutered,2012-07
094-011157,Female,Neutered,2013-02
094-011199,Female,Neutered,2012-03
094-011226,Female,Neutered,2013-03
094-011237,Female,Neutered,2013-06
094-011242,Female,Neutered,2013-05
094-011290,Female,Neutered,2013-04
094-011300,Male,Neutered,2013-03
094-011319,Female,Neutered,2013-03
094-011328,Female,Neutered,2013-04
094-011331,Female,Intact,2013-04
094-011342,Male,Neutered,2013-05
094-011348,Female,Neutered,2012-08
094-011350,Female,Neutered,2013-05
094-011354,Male,Intact,2012-10
094-011371,Male,Neutered,2013-05
094-011380,Male,Neutered,2013-05
094-011384,Female,Neutered,2012-11
094-011388,Male,Intact,2012-02
094-011398,Male,Intact,2013-05
094-011402,Male,Neutered,2013-04
094-011420,Female,Neutered,2012-11
094-011423,Female,Neutered,2013-02
094-011425,Female,Neutered,2012-12
094-011431,Male,Intact,2011-07
094-011438,Male,Intact,2013-04
094-011446,Female,Neutered,2012-12
094-011450,Male,Intact,2012-12
094-011454,Male,Intact,2013-04
094-011467,Male,Neutered,2012-09
094-011484,Female,Neutered,2012-12
094-011492,Female,Neutered,2013-03
094-011494,Male,Neutered,2013-05
094-011500,Female,Neutered,2012-03
094-011544,Female,Intact,2011-11
094-011546,Female,Neutered,2012-11
094-011548,Male,Neutered,2012-04
094-011550,Male,Neutered,2013-05
094-011558,Male,Intact,2013-03
094-011565,Female,Neutered,2012-06
094-011583,Female,Neutered,2013-04
094-011602,Female,Neutered,2013-04
094-011613,Female,Neutered,2013-06
094-011619,Female,Neutered,2012-10
094-011622,Male,Neutered,2011-07
094-011624,Male,Neutered,2011-10
094-011632,Female,Neutered,2013-04
094-011662,Male,Neutered,2012-05
094-011664,Male,Intact,2012-08
094-011671,Female,Neutered,2012-05
094-011680,Male,Neutered,2012-06
094-011690,Male,Neutered,2012-10
094-011694,Male,Neutered,2011-10
094-011704,Male,Neutered,2013-03
094-011708,Female,Neutered,2013-05
094-011710,Male,Intact,2012-07
094-011716,Female,Neutered,2013-04
094-011720,Male,Intact,2013-02
094-011725,Male,Intact,2013-01
094-011727,Female,Neutered,2013-05
094-011729,Female,Neutered,2012-12
094-011746,Male,Intact,2013-05
094-011747,Female,Intact,2013-05
094-011762,Female,Neutered,2012-10
094-011764,Male,Intact,2013-05
094-011786,Female,Neutered,2013-03
094-011809,Female,Neutered,2012-10
094-011813,Female,Neutered,2012-04
094-011823,Female,Neutered,2013-04
094-011831,Male,Neutered,2012-06
094-011835,Female,Intact,2013-05
094-011847,Female,Neutered,2013-02
094-011849,Male,Neutered,2012-11
094-011860,Female,Neutered,2012-09
094-011870,Male,Neutered,2013-03
094-011874,Female,Neutered,2013-05
094-011878,Male,Neutered,2012-07
094-011894,Male,Neutered,2011-11
094-011900,Male,Neutered,2012-10
094-011917,Male,Neutered,2012-07
094-011927,Male,Intact,2013-06
094-011931,Female,Neutered,2012-09
094-011955,Female,Neutered,2013-01
094-011966,Female,Neutered,2012-04
094-011969,Male,Intact,2012-04
094-011976,Female,Neutered,2013-04
094-011980,Female,Neutered,2012-01
094-011985,Female,Neutered,2013-05
094-012006,Male,Neutered,2013-06
094-012012,Male,Intact,2013-06
094-012029,Female,Neutered,2013-05
094-012034,Male,Neutered,2013-03
094-012071,Female,Neutered,2013-05
094-012089,Male,Neutered,2012-12
094-012117,Male,Neutered,2012-03
094-012131,Male,Intact,2012-10
094-012139,Male,Neutered,2013-04
094-012146,Female,Neutered,2012-08
094-012171,Female,Neutered,2013-04
094-012174,Male,Neutered,2013-05
094-012186,Female,Intact,2013-04
094-012191,Male,Intact,2013-03
094-012193,Female,Neutered,2013-06
094-012199,Female,Neutered,2012-12
094-012267,Female,Intact,2012-10
094-012280,Male,Neutered,2012-07
094-012282,Male,Neutered,2013-05
094-012289,Female,Neutered,2013-06
094-012377,Female,Neutered,2013-08
094-012381,Male,Neutered,2012-11
094-012389,Female,Neutered,2012-09
094-012400,Male,Intact,2013-03
094-012435,Male,Neutered,2012-03
094-012456,Female,Neutered,2012-04
094-012522,Male,Intact,2011-10
094-012573,Male,Neutered,2013-02
094-012609,Female,Intact,2012-10
094-012634,Female,Intact,2013-06
094-012647,Male,Neutered,2013-05
094-012682,Male,Intact,2012-07
094-012691,Male,Neutered,2011-10
094-012726,Female,Intact,2013-03
094-012761,Male,Neutered,2013-01
094-012775,Male,Neutered,2011-09
094-012782,Female,Neutered,2012-12
094-012790,Male,Neutered,2013-06
094-012823,Female,Neutered,2013-01
094-012829,Female,Neutered,2012-11
094-012833,Male,Neutered,2012-01
094-012860,Male,Neutered,2011-10
094-012892,Female,Neutered,2012-06
094-012906,Male,Neutered,2013-06
094-012953,Male,Neutered,2013-06
094-012972,Female,Neutered,2012-03
094-012982,Female,Neutered,2013-02
094-012992,Male,Neutered,2013-04
094-013055,Female,Neutered,2013-04
094-013075,Female,Neutered,2013-02
094-013077,Male,Neutered,2013-02
094-013089,Female,Neutered,2011-10
094-013090,Male,Neutered,2013-07
094-013094,Male,Neutered,2012-07
094-013102,Female,Neutered,2013-03
094-013135,Female,Intact,2012-09
094-013146,Male,Neutered,2013-05
094-013196,Female,Neutered,2012-02
094-013217,Male,Intact,2012-12
094-013235,Male,Neutered,2011-09
094-013245,Male,Neutered,2013-09
094-013282,Male,Neutered,2013-03
094-013321,Female,Neutered,2013-03
094-013330,Male,Intact,2013-02
094-013343,Female,Neutered,2013-06
094-013370,Female,Neutered,2013-02
094-013379,Female,Intact,2013-03
094-013388,Female,Neutered,2012-04
094-013417,Female,Neutered,2011-10
094-013422,Male,Intact,2013-01
094-013441,Male,Neutered,2012-07
094-013455,Male,Neutered,2013-01
094-013456,Female,Neutered,2013-05
094-013461,Female,Neutered,2013-05
094-013470,Male,Intact,2013-07
094-013542,Female,Neutered,2012-08
094-013591,Male,Neutered,2012-11
094-013595,Female,Intact,2013-05
094-013617,Male,Neutered,2012-06
094-013640,Male,Neutered,2011-11
094-013659,Female,Neutered,2013-02
094-013716,Male,Intact,2013-08
094-013755,Male,Neutered,2013-01
094-013762,Female,Neutered,2013-02
094-013779,Male,Neutered,2013-07
094-013790,Male,Neutered,2013-01
094-013820,Male,Intact,2012-01
094-013822,Female,Neutered,2012-02
094-013830,Female,Neutered,2012-12
094-013841,Male,Neutered,2012-05
094-013847,Male,Neutered,2012-05
094-013853,Female,Neutered,2012-04
094-013867,Male,Neutered,2012-12
094-013881,Male,Neutered,2013-07
094-013900,Male,Neutered,2012-08
094-013923,Male,Intact,2012-11
094-013924,Female,Neutered,2013-02
094-013927,Male,Neutered,2013-03
094-013934,Male,Neutered,2012-12
094-013945,Male,Neutered,2012-03
094-013983,Male,Neutered,2012-07
094-013998,Female,Neutered,2013-02
094-014008,Female,Neutered,2012-05
094-014010,Male,Neutered,2013-04
094-014014,Female,Neutered,2012-09
094-014044,Male,Intact,2012-06
094-014066,Female,Neutered,2012-01
094-014071,Male,Neutered,2013-06
094-014073,Male,Neutered,2013-05
094-014074,Male,Neutered,2012-01
094-014098,Male,Intact,2013-07
094-014106,Male,Neutered,2013-04
094-014109,Female,Neutered,2013-07
094-014121,Female,Neutered,2013-04
094-014125,Male,Neutered,2012-05
094-014157,Male,Neutered,2012-10
094-014159,Female,Neutered,2013-07
094-014161,Female,Neutered,2012-03
094-014171,Female,Neutered,2013-05
094-014188,Female,Neutered,2011-10
094-014226,Male,Neutered,2013-06
094-014251,Male,Neutered,2011-11
094-014266,Male,Neutered,2011-11
094-014309,Male,Intact,2013-05
094-014321,Female,Neutered,2012-08
094-014329,Female,Neutered,2012-06
094-014360,Female,Neutered,2013-03
094-014436,Male,Intact,2012-11
094-014458,Male,Neutered,2013-05
094-014474,Female,Neutered,2012-01
094-014494,Male,Neutered,2012-05
094-014503,Female,Neutered,2013-09
094-014520,Male,Neutered,2012-10
094-014528,Female,Neutered,2011-11
094-014537,Female,Intact,2011-12
094-014542,Male,Neutered,2012-08
094-014578,Male,Neutered,2013-06
094-014601,Male,Neutered,2012-04
094-014607,Male,Neutered,2012-10
094-014627,Female,Neutered,2012-05
094-014647,Male,Neutered,2011-12
094-014690,Female,Neutered,2013-05
094-014713,Male,Neutered,2013-06
094-014747,Male,Neutered,2013-03
094-014766,Female,Neutered,2013-02
094-014811,Male,Neutered,2012-04
094-014817,Male,Neutered,2013-03
094-014821,Male,Intact,2013-02
094-014853,Female,Neutered,2011-11
094-014867,Male,Neutered,2012-03
094-014872,Male,Neutered,2013-04
094-014930,Male,Neutered,2012-10
094-014934,Male,Neutered,2013-02
094-014946,Male,Neutered,2011-10
094-014948,Male,Neutered,2012-04
094-014960,Male,Neutered,2011-11
094-015002,Female,Intact,2012-01
094-015020,Male,Neutered,2011-12
094-015034,Female,Neutered,2012-12
094-015038,Female,Neutered,2013-03
094-015042,Female,Neutered,2011-11
094-015055,Male,Neutered,2013-07
094-015057,Male,Neutered,2013-06
094-015067,Female,Neutered,2013-07
094-015088,Female,Neutered,2013-02
094-015089,Male,Neutered,2012-12
094-015102,Male,Neutered,2012-07
094-015111,Male,Neutered,2012-05
094-015135,Male,Neutered,2013-04
094-015136,Female,Neutered,2013-04
094-015138,Male,Intact,2013-06
094-015145,Male,Neutered,2013-06
094-015148,Female,Neutered,2012-04
094-015161,Male,Neutered,2011-12
094-015167,Male,Neutered,2013-01
094-015175,Male,Neutered,2013-05
094-015181,Female,Neutered,2013-06
094-015211,Male,Neutered,2013-08
094-015213,Female,Neutered,2013-04
094-015215,Male,Intact,2012-05
094-015217,Female,Neutered,2012-08
094-015225,Female,Neutered,2012-04
094-015227,Female,Intact,2013-01
094-015249,Male,Neutered,2012-10
094-015255,Female,Neutered,2013-05
094-015262,Male,Intact,2013-08
094-015272,Female,Neutered,2013-07
094-015286,Male,Intact,2013-03
094-015297,Female,Neutered,2012-07
094-015311,Female,Neutered,2011-12
094-015318,Female,Neutered,2013-05
094-015321,Male,Neutered,2012-09
094-015334,Male,Neutered,2013-05
094-015336,Male,Neutered,2012-09
094-015342,Female,Neutered,2012-07
094-015349,Male,Neutered,2013-06
094-015353,Male,Neutered,2013-03
094-015364,Male,Neutered,2013-04
094-015369,Male,Neutered,2012-02
094-015378,Female,Neutered,2013-06
094-015380,Male,Intact,2012-09
094-015382,Female,Neutered,2012-11
094-015403,Male,Neutered,2012-05
094-015407,Male,Intact,2013-04
094-015412,Male,Neutered,2013-05
094-015415,Male,Neutered,2013-02
094-015427,Female,Neutered,2011-12
094-015432,Male,Neutered,2013-03
094-015434,Male,Neutered,2012-10
094-015436,Female,Neutered,2013-08
094-015444,Female,Neutered,2013-03
094-015486,Male,Neutered,2013-07
094-015499,Female,Neutered,2012-07
094-015504,Male,Neutered,2012-12
094-015508,Male,Neutered,2012-03
094-015509,Female,Neutered,2012-03
094-015519,Male,Neutered,2011-11
094-015521,Male,Intact,2013-05
094-015532,Male,Neutered,2011-11
094-015534,Male,Intact,2013-04
094-015541,Male,Neutered,2011-12
094-015543,Male,Neutered,2013-03
094-015549,Male,Neutered,2012-10
094-015572,Male,Neutered,2013-02
094-015576,Female,Neutered,2013-02
094-015578,Male,Neutered,2012-04
094-015580,Female,Neutered,2013-06
094-015582,Male,Neutered,2012-02
094-015596,Female,Intact,2011-10
094-015603,Female,Neutered,2013-03
094-015609,Female,Neutered,2012-10
094-015613,Female,Intact,2013-01
094-015614,Male,Intact,2013-04
094-015622,Male,Intact,2011-11
094-015634,Male,Neutered,2012-09
094-015636,Female,Intact,2013-05
094-015640,Male,Neutered,2013-06
094-015657,Male,Neutered,2013-07
094-015677,Female,Neutered,2012-09
094-015679,Female,Neutered,2013-09
094-015689,Female,Neutered,2013-04
094-015706,Male,Intact,2013-05
094-015708,Male,Neutered,2013-06
094-015719,Male,Neutered,2012-11
094-015721,Female,Neutered,2011-12
094-015728,Male,Intact,2012-06
094-015742,Male,Neutered,2013-08
094-015744,Male,Neutered,2011-11
094-015751,Male,Neutered,2012-06
094-015753,Male,Neutered,2013-07
094-015759,Female,Neutered,2013-06
094-015769,Male,Neutered,2013-05
094-015776,Female,Neutered,2013-07
094-015780,Male,Neutered,2012-01
094-015785,Male,Neutered,2012-09
094-015791,Male,Neutered,2012-06
094-015799,Male,Neutered,2013-05
094-015803,Female,Neutered,2012-09
094-015804,Female,Neutered,2013-07
094-015814,Male,Neutered,2013-08
094-015829,Female,Neutered,2013-09
094-015842,Male,Neutered,2013-08
094-015845,Female,Neutered,2011-11
094-015860,Female,Neutered,2013-04
094-015873,Female,Neutered,2013-09
094-015881,Male,Intact,2013-04
094-015887,Male,Neutered,2013-05
094-015899,Male,Neutered,2013-08
094-015928,Female,Neutered,2013-01
094-015930,Female,Neutered,2013-04
094-015939,Female,Neutered,2012-08
094-015940,Male,Neutered,2012-07
094-015941,Female,Neutered,2013-03
094-015951,Male,Neutered,2013-07
094-015970,Male,Intact,2013-09
094-015976,Male,Neutered,2013-01
094-015983,Female,Neutered,2011-12
094-015987,Male,Intact,2012-06
094-015997,Female,Neutered,2013-09
094-016001,Female,Neutered,2012-09
094-016007,Male,Intact,2013-06
094-016009,Female,Neutered,2013-02
094-016010,Male,Intact,2013-08
094-016018,Male,Intact,2013-04
094-016023,Female,Neutered,2012-07
094-016037,Male,Neutered,2012-08
094-016046,Female,Neutered,2011-12
094-016048,Male,Neutered,2012-02
094-016059,Female,Neutered,2013-03
094-016067,Female,Neutered,2012-06
094-016076,Male,Neutered,2013-09
094-016093,Female,Intact,2013-06
094-016104,Male,Neutered,2013-09
094-016106,Male,Neutered,2013-06
094-016107,Female,Neutered,2013-06
094-016127,Female,Neutered,2013-05
094-016135,Female,Neutered,2012-07
094-016144,Female,Neutered,2012-09
094-016147,Male,Neutered,2012-09
094-016149,Male,Neutered,2012-07
094-016151,Female,Neutered,2012-06
094-016159,Male,Neutered,2013-06
094-016165,Female,Neutered,2012-01
094-016188,Male,Neutered,2011-12
094-016200,Female,Neutered,2013-07
094-016209,Female,Neutered,2013-02
094-016211,Female,Neutered,2013-02
094-016215,Female,Neutered,2013-09
094-016217,Female,Neutered,2013-06
094-016232,Male,Neutered,2012-10
094-016242,Female,Neutered,2013-10
094-016245,Male,Neutered,2013-04
094-016265,Male,Neutered,2013-09
094-016274,Male,Neutered,2012-11
094-016279,Female,Neutered,2013-06
094-016283,Male,Neutered,2012-12
094-016286,Female,Neutered,2013-09
094-016290,Male,Intact,2012-07
094-016297,Female,Neutered,2013-10
094-016307,Female,Intact,2013-09
094-016321,Female,Neutered,2012-05
094-016326,Male,Neutered,2013-07
094-016330,Male,Intact,2013-08
094-016332,Male,Neutered,2012-02
094-016345,Male,Neutered,2013-10
094-016348,Female,Neutered,2013-09
094-016351,Male,Intact,2012-02
094-016352,Female,Neutered,2013-04
094-016358,Male,Neutered,2013-09
094-016363,Male,Neutered,2013-10
094-016370,Female,Neutered,2013-09
094-016372,Male,Intact,2013-08
094-016385,Male,Neutered,2013-06
094-016402,Female,Neutered,2013-10
094-016407,Male,Neutered,2013-02
094-016409,Male,Neutered,2013-05
094-016411,Female,Neutered,2013-09
094-016424,Female,Neutered,2012-10
094-016429,Female,Neutered,2013-04
094-016440,Male,Neutered,2011-12
094-016457,Female,Neutered,2013-06
094-016462,Male,Neutered,2013-08
094-016471,Male,Intact,2013-05
094-016480,Female,Neutered,2013-08
094-016554,Male,Neutered,2012-11
094-016555,Female,Neutered,2012-11
094-016598,Male,Neutered,2012-11
094-016612,Male,Intact,2013-07
094-016623,Female,Neutered,2012-12
094-016638,Female,Neutered,2013-09
094-016677,Male,Intact,2012-11
094-016681,Male,Neutered,2013-03
094-016685,Female,Intact,2013-04
094-016710,Male,Neutered,2013-10
094-016724,Female,Neutered,2013-05
094-016726,Female,Neutered,2013-05
094-016741,Male,Neutered,2012-05
094-016752,Female,Neutered,2013-04
094-016799,Female,Neutered,2013-08
094-016809,Male,Neutered,2013-10
094-016820,Female,Neutered,2013-10
094-016824,Female,Neutered,2012-10
094-016836,Female,Neutered,2012-02
094-016845,Male,Intact,2013-09
094-016847,Male,Neutered,2012-11
094-016856,Female,Neutered,2013-11
094-016862,Male,Neutered,2013-08
094-016877,Female,Neutered,2013-09
094-016888,Female,Neutered,2013-10
094-016895,Female,Neutered,2013-10
094-016899,Male,Neutered,2013-10
094-016901,Male,Intact,2013-01
094-016905,Male,Intact,2013-09
094-016911,Male,Intact,2013-01
094-016918,Male,Neutered,2013-08
094-016920,Female,Neutered,2013-10
094-016922,Female,Neutered,2013-08
094-016924,Female,Neutered,2012-01
094-016929,Female,Neutered,2012-07
094-016937,Male,Intact,2013-11
094-016939,Male,Neutered,2013-09
094-016956,Male,Neutered,2013-04
094-016968,Male,Neutered,2012-01
094-016972,Male,Neutered,2012-03
094-016983,Female,Intact,2013-01
094-016996,Female,Neutered,2012-06
094-017003,Female,Neutered,2013-04
094-017005,Female,Neutered,2013-09
094-017020,Female,Neutered,2013-12
094-017021,Male,Neutered,2013-12
094-017038,Male,Neutered,2012-03
094-017040,Female,Neutered,2013-10
094-017056,Female,Intact,2013-07
094-017062,Male,Neutered,2013-06
094-017063,Female,Neutered,2013-06
094-017082,Male,Neutered,2013-11
094-017084,Male,Neutered,2012-04
094-017086,Male,Neutered,2013-09
094-017106,Female,Neutered,2013-07
094-017107,Female,Neutered,2013-07
094-017109,Male,Neutered,2013-06
094-017116,Female,Neutered,2013-09
094-017118,Female,Intact,2013-11
094-017121,Male,Neutered,2013-09
094-017145,Male,Neutered,2012-11
094-017169,Female,Intact,2013-09
094-017181,Female,Neutered,2012-05
094-017190,Male,Neutered,2012-11
094-017193,Male,Neutered,2013-09
094-017212,Male,Neutered,2013-04
094-017222,Male,Neutered,2013-09
094-017236,Female,Intact,2013-03
094-017276,Female,Neutered,2012-12
094-017281,Male,Neutered,2012-10
094-017283,Male,Neutered,2013-07
094-017306,Female,Neutered,2013-11
094-017316,Female,Neutered,2013-09
094-017317,Male,Neutered,2012-12
094-017330,Female,Neutered,2012-04
094-017335,Female,Neutered,2012-11
094-017337,Male,Neutered,2013-10
094-017343,Male,Neutered,2013-01
094-017345,Male,Neutered,2013-08
094-017349,Female,Neutered,2013-07
094-017370,Female,Neutered,2013-01
094-017379,Male,Neutered,2013-07
094-017384,Male,Neutered,2013-06
094-017390,Female,Neutered,2012-06
094-017402,Female,Intact,2013-02
094-017403,Male,Intact,2013-01
094-017405,Male,Neutered,2013-04
094-017416,Male,Neutered,2013-09
094-017418,Female,Neutered,2013-08
094-017425,Female,Neutered,2013-06
094-017428,Male,Neutered,2013-02
094-017451,Female,Neutered,2013-03
094-017468,Female,Neutered,2013-03
094-017474,Female,Neutered,2012-05
094-017476,Male,Intact,2013-09
094-017480,Female,Intact,2012-01
094-017482,Female,Neutered,2013-03
